clip_id,video_path,label,manipulation_type,method,source,target1,target2,race,gender,leading_silence_sec
A__id00076__00109,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00076\00109.mp4,0,RealVideo-RealAudio,real,id00076,-,-,African,men,0.0
A__id00166__00010,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00166\00010.mp4,0,RealVideo-RealAudio,real,id00166,-,-,African,men,0.0
A__id00173__00118,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00173\00118.mp4,0,RealVideo-RealAudio,real,id00173,-,-,African,men,0.064
A__id00366__00118,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00366\00118.mp4,0,RealVideo-RealAudio,real,id00366,-,-,African,men,0.0
A__id00391__00052,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00391\00052.mp4,0,RealVideo-RealAudio,real,id00391,-,-,African,men,0.0
A__id00475__00099,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00475\00099.mp4,0,RealVideo-RealAudio,real,id00475,-,-,African,men,0.0
A__id00476__00109,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00476\00109.mp4,0,RealVideo-RealAudio,real,id00476,-,-,African,men,0.0
A__id00478__00206,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00478\00206.mp4,0,RealVideo-RealAudio,real,id00478,-,-,African,men,0.0
A__id00518__00031,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00518\00031.mp4,0,RealVideo-RealAudio,real,id00518,-,-,African,men,0.0
A__id00701__00092,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00701\00092.mp4,0,RealVideo-RealAudio,real,id00701,-,-,African,men,0.0
A__id00761__00072,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00761\00072.mp4,0,RealVideo-RealAudio,real,id00761,-,-,African,men,0.0
A__id00781__00092,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00781\00092.mp4,0,RealVideo-RealAudio,real,id00781,-,-,African,men,0.0
A__id00830__00143,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00830\00143.mp4,0,RealVideo-RealAudio,real,id00830,-,-,African,men,0.0
A__id00944__00135,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00944\00135.mp4,0,RealVideo-RealAudio,real,id00944,-,-,African,men,0.032
A__id00987__00160,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00987\00160.mp4,0,RealVideo-RealAudio,real,id00987,-,-,African,men,0.0
A__id01036__00010,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01036\00010.mp4,0,RealVideo-RealAudio,real,id01036,-,-,African,men,0.0
A__id01076__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01076\00005.mp4,0,RealVideo-RealAudio,real,id01076,-,-,African,men,0.0
A__id01170__00021,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01170\00021.mp4,0,RealVideo-RealAudio,real,id01170,-,-,African,men,0.0
A__id01171__00053,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01171\00053.mp4,0,RealVideo-RealAudio,real,id01171,-,-,African,men,0.0
A__id01179__00160,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01179\00160.mp4,0,RealVideo-RealAudio,real,id01179,-,-,African,men,0.0
A__id01207__00320,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01207\00320.mp4,0,RealVideo-RealAudio,real,id01207,-,-,African,men,0.0
A__id01236__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01236\00005.mp4,0,RealVideo-RealAudio,real,id01236,-,-,African,men,0.0
A__id01392__00167,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01392\00167.mp4,0,RealVideo-RealAudio,real,id01392,-,-,African,men,0.032
A__id01452__00001,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01452\00001.mp4,0,RealVideo-RealAudio,real,id01452,-,-,African,men,0.0
A__id01521__00109,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01521\00109.mp4,0,RealVideo-RealAudio,real,id01521,-,-,African,men,0.032
A__id01528__00017,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01528\00017.mp4,0,RealVideo-RealAudio,real,id01528,-,-,African,men,0.0
A__id01530__00002,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01530\00002.mp4,0,RealVideo-RealAudio,real,id01530,-,-,African,men,0.0
A__id01544__00044,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01544\00044.mp4,0,RealVideo-RealAudio,real,id01544,-,-,African,men,0.032
A__id01597__00005,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01597\00005.mp4,0,RealVideo-RealAudio,real,id01597,-,-,African,men,0.0
A__id01598__00044,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01598\00044.mp4,0,RealVideo-RealAudio,real,id01598,-,-,African,men,0.0
A__id01610__00090,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01610\00090.mp4,0,RealVideo-RealAudio,real,id01610,-,-,African,men,0.0
A__id01637__00002,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01637\00002.mp4,0,RealVideo-RealAudio,real,id01637,-,-,African,men,0.0
