clip_id,video_path,label,manipulation_type,method,source,target1,target2,race,gender,split
D__id01691__00045_id01691_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id01691\00045_id01691_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id01691,id01691,-,African,men,train
D__id04221__00053_id01035_6EWG3Ywu3jg_id04073_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id04221\00053_id01035_6EWG3Ywu3jg_id04073_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id04221,id01035,id04073,Caucasian (American),men,train
A__id00428__00017,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\women\id00428\00017.mp4,0,RealVideo-RealAudio,real,id00428,-,-,Caucasian (American),women,train
D__id07182__00040_id07463_AAYjDglMf2Q_id07768_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id07182\00040_id07463_AAYjDglMf2Q_id07768_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id07182,id07463,id07768,Asian (South),men,train
A__id00946__00126,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00946\00126.mp4,0,RealVideo-RealAudio,real,id00946,-,-,Caucasian (European),men,train
C__id00634__00078_0,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00634\00078_0.mp4,1,FakeVideo-RealAudio,faceswap,id00634,0.mp4,-,Caucasian (European),women,train
A__id09181__00048,raw\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id09181\00048.mp4,0,RealVideo-RealAudio,real,id09181,-,-,Asian (East),women,train
C__id00021__00010_id00088_6WIDWxr8vuU_faceswap,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id00021\00010_id00088_6WIDWxr8vuU_faceswap.mp4,1,FakeVideo-RealAudio,faceswap,id00021,id00088,-,Caucasian (American),men,train
D__id01178__00028_id05252_CMxIX3absYM_faceswap_id01838_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id01178\00028_id05252_CMxIX3absYM_faceswap_id01838_wavtolip.mp4,1,FakeVideo-FakeAudio,faceswap-wav2lip,id01178,id05252,faceswap,African,women,train
D__id02005__00052_id00166_PQV2ZbJBLNk_id01236_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id02005\00052_id00166_PQV2ZbJBLNk_id01236_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id02005,id00166,id01236,African,men,train
D__id01154__00118_id00919_XDUn0Pskyrk_id00305_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id01154\00118_id00919_XDUn0Pskyrk_id00305_wavtolip.mp4,1,FakeVideo-FakeAudio,fsgan-wav2lip,id01154,id00919,id00305,Caucasian (European),men,train
D__id03656__00052_id00359_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id03656\00052_id00359_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id03656,id00359,-,African,women,train
D__id00374__00311_id00491_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00374\00311_id00491_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id00374,id00491,-,Caucasian (European),women,train
D__id08299__00110_id00597_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\men\id08299\00110_id00597_wavtolip.mp4,1,FakeVideo-FakeAudio,wav2lip,id08299,id00597,-,Asian (East),men,train
C__id01154__00118_id00548_wavtolip,raw\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01154\00118_id00548_wavtolip.mp4,1,FakeVideo-RealAudio,wav2lip,id01154,id00548,-,Caucasian (European),men,train
